ID_REF	C11	C16	P11	P16	AA15	HD2	HD13	E4	L1	L8	C12	C17	P12	AA11	AA16	HD8	HD14	E5	L2	L10	C13	C18	P13	AA12	AA19	HD9	E1	E6	L3	L12	C14	P1	P14	AA13	AA20	HD11	E2	E7	L4	C15	P5	P15	AA14	HD1	HD12	E3	E8	L7
hsa-miR-587-4380950	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	8.32410275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
hsa-miR-586-4380949	12.6826765	11.41083775	12.67482275	6.524147	4.1632285	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	3.14612525	10.64602075	12.08757875	10.1806885	13.0229585	5.57293825	8.30013025	11.97071275	6.837565	6.53553975	4.48588775	13.7490455	12.43686225	1.789862	9.753856	11.346068	3.46346675	4.3692135	11.725376	11.8975895	13.73935725	11.41164925	14.9345215	12.3475595	7.41484025	10.3056085	10.24778225	12.22705975	12.79698475	10.432333	8.57515225	7.9351375	4.10935125	12.58160325	10.62627475	11.117313	3.97198875
hsa-miR-585-4381027	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.27218525	10.62627475	11.117313	9.75096475
hsa-miR-583-4381025	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	9.13470525	11.41164925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
hsa-miR-575-4381020	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	8.6509765	13.73935725	11.41164925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
hsa-miR-573-4381018	12.6826765	6.32880275	4.80429275	-10.098267	9.3361265	4.96366475	2.524099	4.428614	4.98270825	-12.96169225	8.86209375	-8.65169775	3.23386575	4.30160275	10.1806885	7.8627455	5.40110225	0.93663025	3.70128875	-4.365448	4.58679775	-10.16828825	10.1144475	7.71976025	-10.470085	1.801341	6.014292	-10.18473725	8.8711055	4.205322	4.2468175	7.57887725	7.87467325	8.6883315	8.8245295	-6.67001875	3.4522455	3.87953225	7.01909375	9.64197475	3.404017	-8.49253275	7.5636775	3.36137325	8.47841525	7.91468075	5.773453	-9.22391725
RNU43-4373375	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	9.4427955	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
RNU43-4373375	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	-2.7996665	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
RNU6B-4373381	5.0750465	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	5.74240375	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	10.90752275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	9.908318	10.40658675	10.2038465	7.621323	11.8975895	13.73935725	8.24189925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	6.850913	12.40792725	12.3630435	8.15730325	7.34904025	7.82188075	11.117313	9.75096475
RNU6B-4373381	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	7.095836	11.8975895	13.73935725	6.80405925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	8.04868775	11.117313	9.75096475
hsa-miR-569-4380946	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	3.04690325	11.97071275	10.303778	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
